Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
250,12882,11232,378,17644,16842,
250,14163,10395,371,17643,16847,
250,15447,10113,380,17643,16846,
250,16731,9958,380,17643,16851,
250,18015,9878,380,17645,16851,
250,19300,9847,380,17645,16854,
250,20585,9854,379,17645,16852,
250,21870,9896,381,17644,16856,
250,23156,9950,381,17646,16851,
250,24441,10010,381,17646,16854,
250,25727,10084,380,17646,16855,
250,27886,10314,382,17646,16850,
250,29174,10115,380,17646,16857,
250,30456,9945,381,17647,16855,
250,31743,9890,372,17647,16857,
250,33025,9869,380,17647,16858,
250,34313,9870,381,17647,16852,
250,35594,9893,389,17648,16857,
250,36880,9962,381,17648,16853,
250,38167,10013,381,17647,16857,
250,39451,10068,379,17648,16855,
250,40736,10120,379,17647,16858,
240,12831,11539,609,17644,16819,
240,14112,10274,600,17644,16819,
240,15397,9908,597,17644,16834,
240,16679,9666,601,17643,16845,
240,17965,9633,596,17643,16828,
240,19248,9638,602,17645,16834,
240,20536,9630,587,17645,16837,
240,21819,9671,601,17644,16842,
240,23106,9741,592,17645,16830,
240,24389,9824,597,17645,16841,
240,25676,9866,597,17646,16822,
240,27835,10126,568,17646,16846,
240,29123,9901,607,17646,16846,
240,30405,9747,595,17648,16837,
240,31691,9646,595,17646,16843,
240,32973,9643,596,17647,16833,
240,34261,9608,597,17647,16838,
240,35543,9671,614,17648,16841,
240,36829,9747,599,17647,16838,
240,38116,9811,598,17647,16841,
240,39400,9825,595,17648,16846,
240,40684,9881,605,17648,16832,
230,12779,11788,974,17643,16766,
230,14060,9937,985,17643,16744,
230,15345,9493,978,17643,16737,
230,16628,9245,983,17644,16721,
230,17914,9180,967,17645,16784,
230,19197,9152,981,17645,16765,
230,20484,9150,956,17645,16742,
230,21767,9192,987,17646,16735,
230,23054,9351,1008,17646,16732,
230,24338,9388,976,17645,16748,
230,25626,9492,990,17646,16737,
230,27783,9675,977,17647,16734,
230,29071,9458,996,17645,16721,
230,30354,9269,964,17647,16706,
230,31640,9198,978,17646,16745,
230,32922,9143,983,17646,16766,
230,34210,9185,973,17647,16713,
230,35491,9236,988,17648,16750,
230,36777,9261,977,17648,16768,
230,38064,9353,977,17648,16741,
230,39348,9384,991,17648,16759,
230,40633,9444,986,17647,16722,
220,12728,12102,1473,17643,16635,
220,14009,9606,1484,17644,16638,
220,15293,9057,1476,17644,16657,
220,16576,8829,1480,17643,16656,
220,17862,8733,1465,17644,16645,
220,19145,8691,1488,17644,16642,
220,20433,8652,1463,17645,16652,
220,21716,8727,1471,17645,16683,
220,23003,8813,1471,17646,16658,
220,24286,8909,1491,17646,16661,
220,25574,8992,1448,17647,16668,
220,27732,9230,1469,17646,16657,
220,29020,9053,1491,17645,16670,
220,30303,8817,1471,17647,16677,
220,31588,8685,1466,17647,16681,
